message_id,conversation_id,sender_role,content,created_at,dt_prev_sec,msg_len,reaction,label
3_3,3,seller,오늘 오후 가능합니다,2025-10-15T00:22:20.375111,237,11,0,0
3_4,3,buyer,이 상품 아직 구매 가능한가요?,2025-10-15T00:23:59.375111,99,17,0,0
3_5,3,seller,직거래는 어렵습니다,2025-10-15T00:26:21.375111,142,10,1,0
3_6,3,buyer,고민 좀 해볼게요,2025-10-15T00:29:03.375111,162,9,0,0
3_7,3,seller,죄송하지만 네고는 어렵습니다,2025-10-15T01:21:29.375111,3146,15,0,0
3_8,3,buyer,...,2025-10-15T01:35:09.375111,820,3,0,1
4_0,4,buyer,가격 네고 가능할까요?,2025-10-16T00:11:44.375134,0,12,1,0
4_1,4,seller,배송비 별도입니다,2025-10-16T00:21:34.375134,590,9,0,0
4_2,4,buyer,직거래 가능한가요?,2025-10-16T00:23:14.375134,100,10,0,0
4_3,4,seller,상품 상태 아주 좋습니다,2025-10-16T00:27:01.375134,227,13,0,0
4_4,4,buyer,그럼 그렇게 진행해주세요,2025-10-16T00:30:34.375134,213,13,0,0
5_0,5,buyer,실물 사진 더 보여주실 수 있나요?,2025-09-26T00:11:44.375149,0,19,0,0
5_1,5,seller,배송비 별도입니다,2025-09-26T00:19:18.375149,454,9,0,0
5_2,5,buyer,그럼 그렇게 진행해주세요,2025-09-26T00:28:20.375149,542,13,0,0
5_3,5,seller,사진 보내드릴게요,2025-09-26T00:31:31.375149,191,9,0,0
5_4,5,buyer,알겠습니다. 구매할게요,2025-09-26T00:34:16.375149,165,12,1,0
5_5,5,seller,네고 조금 가능합니다,2025-09-26T00:38:02.375149,226,11,0,0
5_6,5,buyer,감사합니다,2025-09-26T00:40:53.375149,171,5,0,0
5_7,5,seller,직거래 가능합니다,2025-09-26T00:42:15.375149,82,9,0,0
5_8,5,buyer,감사합니다,2025-09-26T00:49:15.375149,420,5,0,0
5_9,5,seller,오늘 오후 가능합니다,2025-09-26T00:51:02.375149,107,11,0,0
5_10,5,buyer,알겠습니다. 구매할게요,2025-09-26T00:57:01.375149,359,12,0,0
5_11,5,seller,죄송하지만 네고는 어렵습니다,2025-09-26T01:03:50.375149,409,15,1,0
5_12,5,buyer,죄송합니다만 다시 생각해볼게요,2025-09-26T02:33:50.375149,5400,16,0,0
5_13,5,seller,가격은 정찰제입니다,2025-09-26T03:53:21.375149,4771,10,0,0
6_0,6,buyer,감사합니다,2025-10-05T00:11:44.375182,0,5,0,0
6_1,6,seller,사진 보내드릴게요,2025-10-05T00:21:32.375182,588,9,1,0
6_2,6,buyer,알겠습니다. 구매할게요,2025-10-05T00:26:16.375182,284,12,0,0
6_3,6,seller,가격은 정찰제입니다,2025-10-05T00:34:56.375182,520,10,0,0
6_4,6,buyer,다른 상품이랑 비교 좀 해보고 연락드릴게요,2025-10-05T01:54:59.375182,4803,23,0,0
6_5,6,seller,현재 다른 분과 거래 진행 중입니다,2025-10-05T03:47:28.375182,6749,19,0,0
7_0,7,buyer,이 상품 아직 구매 가능한가요?,2025-10-18T00:11:44.375198,0,17,0,0
7_1,7,seller,사진 보내드릴게요,2025-10-18T00:20:21.375198,517,9,1,0
7_2,7,buyer,실물 사진 더 보여주실 수 있나요?,2025-10-18T00:21:24.375198,63,19,0,0
7_3,7,seller,"네, 구매 가능합니다!",2025-10-18T00:21:57.375198,33,12,0,0
7_4,7,buyer,네 좋습니다!,2025-10-18T00:29:10.375198,433,7,0,0
7_5,7,seller,오늘 오후 가능합니다,2025-10-18T00:35:31.375198,381,11,0,0
7_6,7,buyer,상품 상태는 어떤가요?,2025-10-18T00:36:19.375198,48,12,0,0
7_7,7,seller,"네, 구매 가능합니다!",2025-10-18T00:44:09.375198,470,12,0,0
7_8,7,buyer,직거래 가능한가요?,2025-10-18T00:47:56.375198,227,10,0,0
7_9,7,seller,알겠습니다,2025-10-18T00:57:36.375198,580,5,0,0
7_10,7,buyer,아 그렇군요,2025-10-18T01:41:10.375198,2614,6,0,0
7_11,7,seller,알겠습니다,2025-10-18T02:54:53.375198,4423,5,0,0
8_0,8,buyer,이 상품 아직 구매 가능한가요?,2025-10-13T00:11:44.375229,0,17,0,0
8_1,8,seller,배송비 별도입니다,2025-10-13T00:18:29.375229,405,9,0,0
8_2,8,buyer,그럼 그렇게 진행해주세요,2025-10-13T00:19:32.375229,63,13,0,0
8_3,8,seller,사진 보내드릴게요,2025-10-13T00:22:32.375229,180,9,0,0
8_4,8,buyer,네 좋습니다!,2025-10-13T00:26:09.375229,217,7,0,0
8_5,8,seller,오늘 오후 가능합니다,2025-10-13T00:32:44.375229,395,11,0,0
8_6,8,buyer,알겠습니다. 구매할게요,2025-10-13T00:35:49.375229,185,12,0,0
8_7,8,seller,상품 상태 아주 좋습니다,2025-10-13T00:40:48.375229,299,13,0,0
8_8,8,buyer,직거래 가능한가요?,2025-10-13T00:50:25.375229,577,10,0,0
8_9,8,seller,직거래는 어렵습니다,2025-10-13T00:55:00.375229,275,10,1,0
8_10,8,buyer,...,2025-10-13T02:54:40.375229,7180,3,0,0
8_11,8,seller,죄송하지만 네고는 어렵습니다,2025-10-13T04:40:39.375229,6359,15,0,0
9_0,9,buyer,그럼 그렇게 진행해주세요,2025-10-16T00:11:44.375256,0,13,0,0
9_1,9,seller,"네, 구매 가능합니다!",2025-10-16T00:16:11.375256,267,12,0,0
9_2,9,buyer,그럼 그렇게 진행해주세요,2025-10-16T00:17:25.375256,74,13,1,0
9_3,9,seller,배송비 별도입니다,2025-10-16T00:23:11.375256,346,9,0,0
9_4,9,buyer,네 좋습니다!,2025-10-16T00:30:51.375256,460,7,0,0
9_5,9,seller,배송비 별도입니다,2025-10-16T00:35:14.375256,263,9,0,0
9_6,9,buyer,배송비 포함인가요?,2025-10-16T00:41:39.375256,385,10,1,0
9_7,9,seller,알겠습니다,2025-10-16T00:42:52.375256,73,5,0,0
9_8,9,buyer,아 그렇군요,2025-10-16T02:06:02.375256,4990,6,1,0
9_9,9,seller,가격은 정찰제입니다,2025-10-16T03:38:08.375256,5526,10,0,0
10_0,10,buyer,상품 상태는 어떤가요?,2025-10-01T00:11:44.375281,0,12,0,0
10_1,10,seller,배송비 별도입니다,2025-10-01T00:18:42.375281,418,9,1,0
10_2,10,buyer,그럼 그렇게 진행해주세요,2025-10-01T00:28:21.375281,579,13,0,0
10_3,10,seller,상품 상태 아주 좋습니다,2025-10-01T00:37:52.375281,571,13,0,0
10_4,10,buyer,알겠습니다. 구매할게요,2025-10-01T00:38:12.375281,20,12,0,0
10_5,10,seller,죄송하지만 네고는 어렵습니다,2025-10-01T00:41:30.375281,198,15,0,0
10_6,10,buyer,아 그렇군요,2025-10-01T00:50:57.375281,567,6,0,0
10_7,10,seller,확인했습니다,2025-10-01T00:56:59.375281,362,6,0,0
10_8,10,buyer,...,2025-10-01T02:22:58.375281,5159,3,0,1
11_0,11,buyer,언제 거래 가능하신가요?,2025-10-10T00:11:44.375303,0,13,0,0
11_1,11,seller,"네, 구매 가능합니다!",2025-10-10T00:15:36.375303,232,12,0,0
11_2,11,buyer,네 좋습니다!,2025-10-10T00:20:05.375303,269,7,0,0
11_3,11,seller,네고 조금 가능합니다,2025-10-10T00:20:32.375303,27,11,0,0
11_4,11,buyer,가격 네고 가능할까요?,2025-10-10T00:28:41.375303,489,12,0,0
11_5,11,seller,사진 보내드릴게요,2025-10-10T00:30:42.375303,121,9,1,0
11_6,11,buyer,감사합니다,2025-10-10T00:37:21.375303,399,5,0,0
11_7,11,seller,사진 보내드릴게요,2025-10-10T00:39:31.375303,130,9,0,0
11_8,11,buyer,언제 거래 가능하신가요?,2025-10-10T00:41:12.375303,101,13,0,0
11_9,11,seller,사진 보내드릴게요,2025-10-10T00:51:00.375303,588,9,0,0
12_0,12,buyer,직거래 가능한가요?,2025-10-24T00:11:44.375327,0,10,0,0
12_1,12,seller,네고 조금 가능합니다,2025-10-24T00:18:57.375327,433,11,1,0
12_2,12,buyer,직거래 가능한가요?,2025-10-24T00:28:50.375327,593,10,0,0
12_3,12,seller,네고 조금 가능합니다,2025-10-24T00:31:36.375327,166,11,0,0
12_4,12,buyer,언제 거래 가능하신가요?,2025-10-24T00:34:51.375327,195,13,0,0
12_5,12,seller,상품 상태 아주 좋습니다,2025-10-24T00:41:14.375327,383,13,0,0
12_6,12,buyer,그럼 그렇게 진행해주세요,2025-10-24T00:41:32.375327,18,13,1,0
12_7,12,seller,확인했습니다,2025-10-24T00:41:52.375327,20,6,1,0
12_8,12,buyer,...,2025-10-24T00:44:08.375327,136,3,0,0
12_9,12,seller,죄송하지만 네고는 어렵습니다,2025-10-24T02:14:28.375327,5420,15,0,0
12_10,12,buyer,...,2025-10-24T03:20:57.375327,3989,3,1,1
13_0,13,buyer,언제 거래 가능하신가요?,2025-10-21T00:11:44.375352,0,13,0,0
13_1,13,seller,배송비 별도입니다,2025-10-21T00:19:02.375352,438,9,0,0
13_2,13,buyer,네 좋습니다!,2025-10-21T00:21:54.375352,172,7,1,0
13_3,13,seller,오늘 오후 가능합니다,2025-10-21T00:28:01.375352,367,11,0,0
13_4,13,buyer,실물 사진 더 보여주실 수 있나요?,2025-10-21T00:33:49.375352,348,19,1,0
13_5,13,seller,직거래 가능합니다,2025-10-21T00:42:30.375352,521,9,0,0
13_6,13,buyer,가격 네고 가능할까요?,2025-10-21T00:51:22.375352,532,12,0,0
13_7,13,seller,오늘 오후 가능합니다,2025-10-21T00:59:19.375352,477,11,0,0
13_8,13,buyer,알겠습니다. 구매할게요,2025-10-21T01:00:04.375352,45,12,0,0
13_9,13,seller,"네, 구매 가능합니다!",2025-10-21T01:05:58.375352,354,12,0,0
13_10,13,buyer,언제 거래 가능하신가요?,2025-10-21T01:08:32.375352,154,13,0,0
13_11,13,seller,네고 조금 가능합니다,2025-10-21T01:14:29.375352,357,11,1,0
13_12,13,buyer,직거래 가능한가요?,2025-10-21T01:22:18.375352,469,10,0,0
13_13,13,seller,사진 보내드릴게요,2025-10-21T01:28:16.375352,358,9,0,0
13_14,13,buyer,가격 네고 가능할까요?,2025-10-21T01:36:13.375352,477,12,0,0
13_15,13,seller,상품 상태 아주 좋습니다,2025-10-21T01:39:27.375352,194,13,0,0
13_16,13,buyer,배송비 포함인가요?,2025-10-21T01:45:39.375352,372,10,0,0
14_0,14,buyer,빠른 답변 감사드려요,2025-10-02T00:11:44.375390,0,11,1,0
14_1,14,seller,직거래 가능합니다,2025-10-02T00:20:26.375390,522,9,0,0
14_2,14,buyer,언제 거래 가능하신가요?,2025-10-02T00:27:47.375390,441,13,0,0
14_3,14,seller,네고 조금 가능합니다,2025-10-02T00:31:52.375390,245,11,0,0
14_4,14,buyer,빠른 답변 감사드려요,2025-10-02T00:39:08.375390,436,11,0,0
14_5,14,seller,네고 조금 가능합니다,2025-10-02T00:48:24.375390,556,11,0,0
14_6,14,buyer,그럼 그렇게 진행해주세요,2025-10-02T00:57:04.375390,520,13,1,0
14_7,14,seller,확인했습니다,2025-10-02T01:02:54.375390,350,6,1,0
14_8,14,buyer,죄송합니다만 다시 생각해볼게요,2025-10-02T01:07:30.375390,276,16,0,0
14_9,14,seller,네,2025-10-02T01:37:04.375390,1774,1,0,0
14_10,14,buyer,...,2025-10-02T02:05:17.375390,1693,3,0,1
15_0,15,buyer,빠른 답변 감사드려요,2025-10-19T00:11:44.375415,0,11,0,0
15_1,15,seller,상품 상태 아주 좋습니다,2025-10-19T00:12:53.375415,69,13,0,0
15_2,15,buyer,가격 네고 가능할까요?,2025-10-19T00:17:40.375415,287,12,0,0
15_3,15,seller,상품 상태 아주 좋습니다,2025-10-19T00:20:39.375415,179,13,0,0
15_4,15,buyer,빠른 답변 감사드려요,2025-10-19T00:26:15.375415,336,11,0,0
15_5,15,seller,직거래 가능합니다,2025-10-19T00:32:17.375415,362,9,0,0
15_6,15,buyer,알겠습니다. 구매할게요,2025-10-19T00:36:15.375415,238,12,0,0
15_7,15,seller,네고 조금 가능합니다,2025-10-19T00:36:31.375415,16,11,1,0
15_8,15,buyer,빠른 답변 감사드려요,2025-10-19T00:40:24.375415,233,11,0,0
15_9,15,seller,사진 보내드릴게요,2025-10-19T00:44:00.375415,216,9,0,0
15_10,15,buyer,실물 사진 더 보여주실 수 있나요?,2025-10-19T00:47:41.375415,221,19,0,0
15_11,15,seller,배송비 별도입니다,2025-10-19T00:54:28.375415,407,9,0,0
15_12,15,buyer,이 상품 아직 구매 가능한가요?,2025-10-19T00:57:44.375415,196,17,0,0
15_13,15,seller,"네, 구매 가능합니다!",2025-10-19T01:02:19.375415,275,12,0,0
16_0,16,buyer,빠른 답변 감사드려요,2025-10-03T00:11:44.375448,0,11,0,0
16_1,16,seller,사진 보내드릴게요,2025-10-03T00:13:08.375448,84,9,0,0
16_2,16,buyer,배송비 포함인가요?,2025-10-03T00:18:26.375448,318,10,0,0
16_3,16,seller,상품 상태 아주 좋습니다,2025-10-03T00:26:48.375448,502,13,0,0
16_4,16,buyer,감사합니다,2025-10-03T00:27:46.375448,58,5,1,0
16_5,16,seller,네고 조금 가능합니다,2025-10-03T00:31:27.375448,221,11,0,0
16_6,16,buyer,그럼 그렇게 진행해주세요,2025-10-03T00:40:21.375448,534,13,0,0
16_7,16,seller,배송비 별도입니다,2025-10-03T00:50:01.375448,580,9,1,0
16_8,16,buyer,실물 사진 더 보여주실 수 있나요?,2025-10-03T00:56:15.375448,374,19,0,0
17_0,17,buyer,직거래 가능한가요?,2025-10-04T00:11:44.375470,0,10,0,0
17_1,17,seller,사진 보내드릴게요,2025-10-04T00:15:05.375470,201,9,0,0
17_2,17,buyer,배송비 포함인가요?,2025-10-04T00:22:50.375470,465,10,0,0
17_3,17,seller,오늘 오후 가능합니다,2025-10-04T00:28:17.375470,327,11,1,0
17_4,17,buyer,상품 상태는 어떤가요?,2025-10-04T00:32:11.375470,234,12,0,0
17_5,17,seller,오늘 오후 가능합니다,2025-10-04T00:38:31.375470,380,11,0,0
17_6,17,buyer,빠른 답변 감사드려요,2025-10-04T00:38:53.375470,22,11,1,0
17_7,17,seller,오늘 오후 가능합니다,2025-10-04T00:41:46.375470,173,11,1,0
17_8,17,buyer,언제 거래 가능하신가요?,2025-10-04T00:49:15.375470,449,13,0,0
17_9,17,seller,배송비 별도입니다,2025-10-04T00:50:55.375470,100,9,0,0
17_10,17,buyer,상품 상태는 어떤가요?,2025-10-04T00:59:16.375470,501,12,1,0
17_11,17,seller,"네, 구매 가능합니다!",2025-10-04T01:03:51.375470,275,12,1,0
18_0,18,buyer,그럼 그렇게 진행해주세요,2025-09-28T00:11:44.375497,0,13,0,0
18_1,18,seller,사진 보내드릴게요,2025-09-28T00:12:05.375497,21,9,0,0
18_2,18,buyer,이 상품 아직 구매 가능한가요?,2025-09-28T00:16:23.375497,258,17,1,0
18_3,18,seller,직거래 가능합니다,2025-09-28T00:18:50.375497,147,9,1,0
18_4,18,buyer,직거래 가능한가요?,2025-09-28T00:25:07.375497,377,10,0,0
18_5,18,seller,"네, 구매 가능합니다!",2025-09-28T00:28:59.375497,232,12,0,0
18_6,18,buyer,알겠습니다. 구매할게요,2025-09-28T00:33:58.375497,299,12,0,0
18_7,18,seller,사진 보내드릴게요,2025-09-28T00:40:20.375497,382,9,1,0
18_8,18,buyer,직거래 가능한가요?,2025-09-28T00:46:33.375497,373,10,0,0
18_9,18,seller,상품 상태 아주 좋습니다,2025-09-28T00:46:43.375497,10,13,0,0
18_10,18,buyer,빠른 답변 감사드려요,2025-09-28T00:49:05.375497,142,11,0,0
18_11,18,seller,알겠습니다,2025-09-28T00:51:47.375497,162,5,0,0
18_12,18,buyer,고민 좀 해볼게요,2025-09-28T01:00:46.375497,539,9,0,0
18_13,18,seller,확인했습니다,2025-09-28T02:05:50.375497,3904,6,1,0
18_14,18,buyer,...,2025-09-28T04:00:03.375497,6853,3,0,1
19_0,19,buyer,배송비 포함인가요?,2025-10-02T00:11:44.375540,0,10,0,0
19_1,19,seller,직거래 가능합니다,2025-10-02T00:15:18.375540,214,9,0,0
19_2,19,buyer,감사합니다,2025-10-02T00:18:28.375540,190,5,1,0
19_3,19,seller,직거래 가능합니다,2025-10-02T00:24:46.375540,378,9,0,0
19_4,19,buyer,실물 사진 더 보여주실 수 있나요?,2025-10-02T00:33:54.375540,548,19,1,0
19_5,19,seller,직거래 가능합니다,2025-10-02T00:42:20.375540,506,9,0,0
19_6,19,buyer,언제 거래 가능하신가요?,2025-10-02T00:51:41.375540,561,13,0,0
19_7,19,seller,"네, 구매 가능합니다!",2025-10-02T00:57:21.375540,340,12,1,0
19_8,19,buyer,네 좋습니다!,2025-10-02T01:04:53.375540,452,7,0,0
19_9,19,seller,네고 조금 가능합니다,2025-10-02T01:05:09.375540,16,11,1,0
20_0,20,buyer,빠른 답변 감사드려요,2025-10-01T00:11:44.375564,0,11,0,0
20_1,20,seller,오늘 오후 가능합니다,2025-10-01T00:19:46.375564,482,11,0,0
20_2,20,buyer,실물 사진 더 보여주실 수 있나요?,2025-10-01T00:26:51.375564,425,19,0,0
20_3,20,seller,네고 조금 가능합니다,2025-10-01T00:27:45.375564,54,11,0,0
20_4,20,buyer,배송비 포함인가요?,2025-10-01T00:29:51.375564,126,10,0,0
20_5,20,seller,배송비 별도입니다,2025-10-01T00:33:17.375564,206,9,0,0
20_6,20,buyer,그럼 그렇게 진행해주세요,2025-10-01T00:39:11.375564,354,13,1,0
20_7,20,seller,상품 상태 아주 좋습니다,2025-10-01T00:45:13.375564,362,13,0,0
20_8,20,buyer,그럼 그렇게 진행해주세요,2025-10-01T00:54:54.375564,581,13,1,0
20_9,20,seller,알겠습니다,2025-10-01T01:02:46.375564,472,5,0,0
20_10,20,buyer,다른 상품이랑 비교 좀 해보고 연락드릴게요,2025-10-01T01:07:56.375564,310,23,0,0
20_11,20,seller,현재 다른 분과 거래 진행 중입니다,2025-10-01T01:48:57.375564,2461,19,0,0
20_12,20,buyer,다른 상품이랑 비교 좀 해보고 연락드릴게요,2025-10-01T02:11:17.375564,1340,23,0,1
21_0,21,buyer,알겠습니다. 구매할게요,2025-09-28T00:11:44.375593,0,12,0,0
21_1,21,seller,"네, 구매 가능합니다!",2025-09-28T00:17:44.375593,360,12,1,0
21_2,21,buyer,직거래 가능한가요?,2025-09-28T00:20:26.375593,162,10,0,0
21_3,21,seller,사진 보내드릴게요,2025-09-28T00:25:02.375593,276,9,0,0
21_4,21,buyer,실물 사진 더 보여주실 수 있나요?,2025-09-28T00:31:12.375593,370,19,0,0
21_5,21,seller,상품 상태 아주 좋습니다,2025-09-28T00:39:23.375593,491,13,0,0
21_6,21,buyer,직거래 가능한가요?,2025-09-28T00:39:49.375593,26,10,1,0
21_7,21,seller,확인했습니다,2025-09-28T00:44:04.375593,255,6,1,0
21_8,21,buyer,음... 좀 비싸네요,2025-09-28T00:49:24.375593,320,11,0,0
21_9,21,seller,확인했습니다,2025-09-28T02:06:20.375593,4616,6,0,0
21_10,21,buyer,...,2025-09-28T03:55:03.375593,6523,3,0,1
22_0,22,buyer,알겠습니다. 구매할게요,2025-10-09T00:11:44.375619,0,12,0,0
22_1,22,seller,사진 보내드릴게요,2025-10-09T00:14:45.375619,181,9,0,0
22_2,22,buyer,직거래 가능한가요?,2025-10-09T00:24:38.375619,593,10,0,0
22_3,22,seller,직거래 가능합니다,2025-10-09T00:34:07.375619,569,9,0,0
22_4,22,buyer,빠른 답변 감사드려요,2025-10-09T00:39:22.375619,315,11,1,0
22_5,22,seller,네고 조금 가능합니다,2025-10-09T00:41:21.375619,119,11,0,0
22_6,22,buyer,직거래 가능한가요?,2025-10-09T00:43:01.375619,100,10,0,0
22_7,22,seller,확인했습니다,2025-10-09T00:48:29.375619,328,6,0,0
22_8,22,buyer,죄송합니다만 다시 생각해볼게요,2025-10-09T00:55:19.375619,410,16,0,0
22_9,22,seller,확인했습니다,2025-10-09T02:40:39.375619,6320,6,0,0
22_10,22,buyer,죄송합니다만 다시 생각해볼게요,2025-10-09T03:35:40.375619,3301,16,0,1
23_0,23,buyer,이 상품 아직 구매 가능한가요?,2025-10-18T00:11:44.375644,0,17,0,0
23_1,23,seller,"네, 구매 가능합니다!",2025-10-18T00:15:35.375644,231,12,0,0
23_2,23,buyer,빠른 답변 감사드려요,2025-10-18T00:22:39.375644,424,11,0,0
23_3,23,seller,사진 보내드릴게요,2025-10-18T00:28:53.375644,374,9,0,0
23_4,23,buyer,감사합니다,2025-10-18T00:37:29.375644,516,5,0,0
23_5,23,seller,네고 조금 가능합니다,2025-10-18T00:45:18.375644,469,11,0,0
24_0,24,buyer,이 상품 아직 구매 가능한가요?,2025-10-11T00:11:44.375659,0,17,0,0
24_1,24,seller,사진 보내드릴게요,2025-10-11T00:15:17.375659,213,9,0,0
24_2,24,buyer,실물 사진 더 보여주실 수 있나요?,2025-10-11T00:24:37.375659,560,19,0,0
24_3,24,seller,네고 조금 가능합니다,2025-10-11T00:33:10.375659,513,11,0,0
24_4,24,buyer,이 상품 아직 구매 가능한가요?,2025-10-11T00:40:21.375659,431,17,1,0
24_5,24,seller,사진 보내드릴게요,2025-10-11T00:41:59.375659,98,9,0,0
24_6,24,buyer,그럼 그렇게 진행해주세요,2025-10-11T00:45:51.375659,232,13,0,0
24_7,24,seller,오늘 오후 가능합니다,2025-10-11T00:49:10.375659,199,11,1,0
24_8,24,buyer,직거래 가능한가요?,2025-10-11T00:58:27.375659,557,10,1,0
24_9,24,seller,네고 조금 가능합니다,2025-10-11T01:06:48.375659,501,11,0,0
24_10,24,buyer,상품 상태는 어떤가요?,2025-10-11T01:15:42.375659,534,12,0,0
24_11,24,seller,"네, 구매 가능합니다!",2025-10-11T01:23:19.375659,457,12,0,0
25_0,25,buyer,실물 사진 더 보여주실 수 있나요?,2025-10-14T00:11:44.375688,0,19,0,0
25_1,25,seller,오늘 오후 가능합니다,2025-10-14T00:13:11.375688,87,11,0,0
25_2,25,buyer,네 좋습니다!,2025-10-14T00:19:38.375688,387,7,0,0
25_3,25,seller,직거래 가능합니다,2025-10-14T00:21:05.375688,87,9,0,0
25_4,25,buyer,네 좋습니다!,2025-10-14T00:23:19.375688,134,7,1,0
25_5,25,seller,직거래 가능합니다,2025-10-14T00:24:39.375688,80,9,0,0
25_6,25,buyer,감사합니다,2025-10-14T00:27:51.375688,192,5,1,0
25_7,25,seller,직거래는 어렵습니다,2025-10-14T00:32:42.375688,291,10,0,0
25_8,25,buyer,고민 좀 해볼게요,2025-10-14T00:41:54.375688,552,9,0,0
25_9,25,seller,현재 다른 분과 거래 진행 중입니다,2025-10-14T01:43:06.375688,3672,19,0,0
25_10,25,buyer,고민 좀 해볼게요,2025-10-14T03:41:59.375688,7133,9,0,1
26_0,26,buyer,빠른 답변 감사드려요,2025-10-23T00:11:44.375714,0,11,0,0
26_1,26,seller,오늘 오후 가능합니다,2025-10-23T00:17:30.375714,346,11,0,0
26_2,26,buyer,언제 거래 가능하신가요?,2025-10-23T00:23:01.375714,331,13,0,0
26_3,26,seller,직거래 가능합니다,2025-10-23T00:30:54.375714,473,9,0,0
26_4,26,buyer,이 상품 아직 구매 가능한가요?,2025-10-23T00:39:54.375714,540,17,1,0
26_5,26,seller,오늘 오후 가능합니다,2025-10-23T00:42:06.375714,132,11,0,0
26_6,26,buyer,빠른 답변 감사드려요,2025-10-23T00:51:24.375714,558,11,0,0
26_7,26,seller,배송비 별도입니다,2025-10-23T00:57:34.375714,370,9,0,0
26_8,26,buyer,언제 거래 가능하신가요?,2025-10-23T01:03:24.375714,350,13,1,0
26_9,26,seller,오늘 오후 가능합니다,2025-10-23T01:07:53.375714,269,11,0,0
26_10,26,buyer,네 좋습니다!,2025-10-23T01:17:47.375714,594,7,0,0
26_11,26,seller,"네, 구매 가능합니다!",2025-10-23T01:24:17.375714,390,12,0,0
26_12,26,buyer,그럼 그렇게 진행해주세요,2025-10-23T01:26:43.375714,146,13,0,0
27_0,27,buyer,상품 상태는 어떤가요?,2025-10-05T00:11:44.375744,0,12,1,0
27_1,27,seller,오늘 오후 가능합니다,2025-10-05T00:12:07.375744,23,11,0,0
27_2,27,buyer,실물 사진 더 보여주실 수 있나요?,2025-10-05T00:20:04.375744,477,19,1,0
27_3,27,seller,상품 상태 아주 좋습니다,2025-10-05T00:26:53.375744,409,13,1,0
27_4,27,buyer,직거래 가능한가요?,2025-10-05T00:36:01.375744,548,10,0,0
27_5,27,seller,네고 조금 가능합니다,2025-10-05T00:45:55.375744,594,11,0,0
27_6,27,buyer,알겠습니다. 구매할게요,2025-10-05T00:53:56.375744,481,12,0,0
27_7,27,seller,직거래 가능합니다,2025-10-05T00:56:02.375744,126,9,1,0
27_8,27,buyer,알겠습니다. 구매할게요,2025-10-05T01:02:49.375744,407,12,1,0
27_9,27,seller,알겠습니다,2025-10-05T01:03:54.375744,65,5,0,0
27_10,27,buyer,죄송합니다만 다시 생각해볼게요,2025-10-05T01:11:06.375744,432,16,0,0
27_11,27,seller,알겠습니다,2025-10-05T02:25:26.375744,4460,5,0,0
27_12,27,buyer,음... 좀 비싸네요,2025-10-05T02:46:58.375744,1292,11,0,1
28_0,28,buyer,직거래 가능한가요?,2025-10-06T00:11:44.375775,0,10,0,0
28_1,28,seller,"네, 구매 가능합니다!",2025-10-06T00:14:37.375775,173,12,0,0
